#T  =  50 
# alpha    sigma 
0.9183673469387754 19 
0.9387755102040816 19 
0.9591836734693877 19 
0.9795918367346939 19 
1.0 19 
0.14285714285714285 20 
0.16326530612244897 20 
0.18367346938775508 20 
0.2040816326530612 20 
0.22448979591836732 20 
0.24489795918367346 20 
0.26530612244897955 20 
0.2857142857142857 20 
0.3061224489795918 20 
0.32653061224489793 20 
0.3469387755102041 20 
0.36734693877551017 20 
0.3877551020408163 20 
0.4081632653061224 20 
0.42857142857142855 20 
0.44897959183673464 20 
0.4693877551020408 20 
0.4897959183673469 20 
0.5102040816326531 20 
0.5306122448979591 20 
0.5510204081632653 20 
0.5714285714285714 20 
0.5918367346938775 20 
0.6122448979591836 20 
0.6326530612244897 20 
0.6530612244897959 20 
0.673469387755102 20 
0.6938775510204082 20 
0.7142857142857142 20 
0.7346938775510203 20 
0.7551020408163265 20 
0.7755102040816326 20 
0.7959183673469387 20 
0.8163265306122448 20 
0.836734693877551 20 
0.8571428571428571 20 
0.8775510204081632 20 
0.8979591836734693 20 
0.9183673469387754 20 
0.9387755102040816 20 
0.9591836734693877 20 
0.9795918367346939 20 
1.0 20 
0.14285714285714285 21 
0.16326530612244897 21 
0.18367346938775508 21 
0.2040816326530612 21 
0.22448979591836732 21 
0.24489795918367346 21 
0.26530612244897955 21 
0.2857142857142857 21 
0.3061224489795918 21 
0.32653061224489793 21 
0.3469387755102041 21 
0.36734693877551017 21 
0.3877551020408163 21 
0.4081632653061224 21 
0.42857142857142855 21 
0.44897959183673464 21 
0.4693877551020408 21 
0.4897959183673469 21 
0.5102040816326531 21 
0.5306122448979591 21 
0.5510204081632653 21 
0.5714285714285714 21 
0.5918367346938775 21 
0.6122448979591836 21 
0.6326530612244897 21 
0.6530612244897959 21 
0.673469387755102 21 
0.6938775510204082 21 
0.7142857142857142 21 
0.7346938775510203 21 
0.7551020408163265 21 
0.7755102040816326 21 
0.7959183673469387 21 
0.8163265306122448 21 
0.836734693877551 21 
0.8571428571428571 21 
0.8775510204081632 21 
0.8979591836734693 21 
0.9183673469387754 21 
0.9387755102040816 21 
0.9591836734693877 21 
0.9795918367346939 21 
1.0 21 
0.14285714285714285 22 
0.16326530612244897 22 
0.18367346938775508 22 
0.2040816326530612 22 
0.22448979591836732 22 
0.24489795918367346 22 
0.26530612244897955 22 
0.2857142857142857 22 
0.3061224489795918 22 
0.32653061224489793 22 
0.3469387755102041 22 
0.36734693877551017 22 
0.3877551020408163 22 
0.4081632653061224 22 
0.42857142857142855 22 
0.44897959183673464 22 
0.4693877551020408 22 
0.4897959183673469 22 
0.5102040816326531 22 
0.5306122448979591 22 
0.5510204081632653 22 
0.5714285714285714 22 
0.5918367346938775 22 
0.6122448979591836 22 
0.6326530612244897 22 
0.6530612244897959 22 
0.673469387755102 22 
0.6938775510204082 22 
0.7142857142857142 22 
0.7346938775510203 22 
0.7551020408163265 22 
0.7755102040816326 22 
0.7959183673469387 22 
0.8163265306122448 22 
0.836734693877551 22 
0.8571428571428571 22 
0.8775510204081632 22 
0.8979591836734693 22 
0.9183673469387754 22 
0.9387755102040816 22 
0.9591836734693877 22 
0.9795918367346939 22 
1.0 22 
0.14285714285714285 23 
0.16326530612244897 23 
0.18367346938775508 23 
0.2040816326530612 23 
0.22448979591836732 23 
0.24489795918367346 23 
0.26530612244897955 23 
0.2857142857142857 23 
0.3061224489795918 23 
0.32653061224489793 23 
0.3469387755102041 23 
0.36734693877551017 23 
0.3877551020408163 23 
0.4081632653061224 23 
0.42857142857142855 23 
0.44897959183673464 23 
0.4693877551020408 23 
0.4897959183673469 23 
0.5102040816326531 23 
0.5306122448979591 23 
0.5510204081632653 23 
0.5714285714285714 23 
0.5918367346938775 23 
0.6122448979591836 23 
0.6326530612244897 23 
0.6530612244897959 23 
0.673469387755102 23 
0.6938775510204082 23 
0.7142857142857142 23 
0.7346938775510203 23 
0.7551020408163265 23 
0.7755102040816326 23 
0.7959183673469387 23 
0.8163265306122448 23 
0.836734693877551 23 
0.8571428571428571 23 
0.8775510204081632 23 
0.8979591836734693 23 
0.9183673469387754 23 
0.9387755102040816 23 
0.9591836734693877 23 
0.9795918367346939 23 
1.0 23 
0.12244897959183673 24 
0.14285714285714285 24 
0.16326530612244897 24 
0.18367346938775508 24 
0.2040816326530612 24 
0.22448979591836732 24 
0.24489795918367346 24 
0.26530612244897955 24 
0.2857142857142857 24 
0.3061224489795918 24 
0.32653061224489793 24 
0.3469387755102041 24 
0.36734693877551017 24 
0.3877551020408163 24 
0.4081632653061224 24 
0.42857142857142855 24 
0.44897959183673464 24 
0.4693877551020408 24 
0.4897959183673469 24 
0.5102040816326531 24 
0.5306122448979591 24 
0.5510204081632653 24 
0.5714285714285714 24 
0.5918367346938775 24 
0.6122448979591836 24 
0.6326530612244897 24 
0.6530612244897959 24 
0.673469387755102 24 
0.6938775510204082 24 
0.7142857142857142 24 
0.7346938775510203 24 
0.7551020408163265 24 
0.7755102040816326 24 
0.7959183673469387 24 
0.8163265306122448 24 
0.836734693877551 24 
0.8571428571428571 24 
0.8775510204081632 24 
0.8979591836734693 24 
0.9183673469387754 24 
0.9387755102040816 24 
0.9591836734693877 24 
0.9795918367346939 24 
1.0 24 
0.12244897959183673 25 
0.14285714285714285 25 
0.16326530612244897 25 
0.18367346938775508 25 
0.2040816326530612 25 
0.22448979591836732 25 
0.24489795918367346 25 
0.26530612244897955 25 
0.2857142857142857 25 
0.3061224489795918 25 
0.32653061224489793 25 
0.3469387755102041 25 
0.36734693877551017 25 
0.3877551020408163 25 
0.4081632653061224 25 
0.42857142857142855 25 
0.44897959183673464 25 
0.4693877551020408 25 
0.4897959183673469 25 
0.5102040816326531 25 
0.5306122448979591 25 
0.5510204081632653 25 
0.5714285714285714 25 
0.5918367346938775 25 
0.6122448979591836 25 
0.6326530612244897 25 
0.6530612244897959 25 
0.673469387755102 25 
0.6938775510204082 25 
0.7142857142857142 25 
0.7346938775510203 25 
0.7551020408163265 25 
0.7755102040816326 25 
0.7959183673469387 25 
0.8163265306122448 25 
0.836734693877551 25 
0.8571428571428571 25 
0.8775510204081632 25 
0.8979591836734693 25 
0.9183673469387754 25 
0.9387755102040816 25 
0.9591836734693877 25 
0.9795918367346939 25 
1.0 25 
0.12244897959183673 26 
0.14285714285714285 26 
0.16326530612244897 26 
0.18367346938775508 26 
0.2040816326530612 26 
0.22448979591836732 26 
0.24489795918367346 26 
0.26530612244897955 26 
0.2857142857142857 26 
0.3061224489795918 26 
0.32653061224489793 26 
0.3469387755102041 26 
0.36734693877551017 26 
0.3877551020408163 26 
0.4081632653061224 26 
0.42857142857142855 26 
0.44897959183673464 26 
0.4693877551020408 26 
0.4897959183673469 26 
0.5102040816326531 26 
0.5306122448979591 26 
0.5510204081632653 26 
0.5714285714285714 26 
0.5918367346938775 26 
0.6122448979591836 26 
0.6326530612244897 26 
0.6530612244897959 26 
0.673469387755102 26 
0.6938775510204082 26 
0.7142857142857142 26 
0.7346938775510203 26 
0.7551020408163265 26 
0.7755102040816326 26 
0.7959183673469387 26 
0.8163265306122448 26 
0.836734693877551 26 
0.8571428571428571 26 
0.8775510204081632 26 
0.8979591836734693 26 
0.9183673469387754 26 
0.9387755102040816 26 
0.9591836734693877 26 
0.9795918367346939 26 
1.0 26 
0.12244897959183673 27 
0.14285714285714285 27 
0.16326530612244897 27 
0.18367346938775508 27 
0.2040816326530612 27 
0.22448979591836732 27 
0.24489795918367346 27 
0.26530612244897955 27 
0.2857142857142857 27 
0.3061224489795918 27 
0.32653061224489793 27 
0.3469387755102041 27 
0.36734693877551017 27 
0.3877551020408163 27 
0.4081632653061224 27 
0.42857142857142855 27 
0.44897959183673464 27 
0.4693877551020408 27 
0.4897959183673469 27 
0.5102040816326531 27 
0.5306122448979591 27 
0.5510204081632653 27 
0.5714285714285714 27 
0.5918367346938775 27 
0.6122448979591836 27 
0.6326530612244897 27 
0.6530612244897959 27 
0.673469387755102 27 
0.6938775510204082 27 
0.7142857142857142 27 
0.7346938775510203 27 
0.7551020408163265 27 
0.7755102040816326 27 
0.7959183673469387 27 
0.8163265306122448 27 
0.836734693877551 27 
0.8571428571428571 27 
0.8775510204081632 27 
0.8979591836734693 27 
